Battery Capacity Checker v1.1
battVolt   current     mAh
Battery Capacity Checker v1.1
battVolt   current     mAh
Battery Capacity Checker v1.1
battVolt   current     mAh
4.21	0.00	0.00
4.03	0.80	1.12
4.02	0.80	2.24
4.02	0.81	3.37
4.02	0.80	4.49
4.00	0.79	5.60
4.01	0.80	6.73
4.00	0.80	7.84
3.99	0.79	8.95
3.99	0.79	10.07
3.99	0.79	11.18
3.99	0.80	12.30
3.99	0.80	13.41
3.99	0.79	14.53
4.00	0.79	15.63
3.99	0.79	16.74
3.99	0.81	17.87
3.98	0.79	18.97
3.98	0.79	20.08
3.99	0.80	21.20
3.99	0.79	22.32
3.99	0.80	23.44
3.98	0.80	24.56
3.97	0.79	25.67
3.98	0.80	26.80
3.98	0.80	27.92
3.97	0.79	29.02
3.96	0.78	30.11
3.97	0.79	31.22
3.97	0.79	32.34
3.97	0.79	33.44
3.98	0.80	34.56
3.96	0.79	35.67
3.96	0.79	36.78
3.96	0.79	37.89
3.97	0.80	39.01
3.96	0.79	40.13
3.97	0.79	41.24
3.96	0.79	42.34
3.96	0.79	43.45
3.96	0.79	44.56
3.95	0.79	45.67
3.96	0.80	46.79
3.95	0.79	47.89
3.95	0.79	48.99
3.96	0.79	50.10
3.96	0.80	51.22
3.95	0.79	52.32
3.95	0.79	53.43
3.95	0.79	54.54
3.95	0.79	55.65
3.94	0.79	56.75
3.94	0.79	57.86
3.94	0.80	58.98
3.95	0.79	60.09
3.95	0.79	61.20
3.94	0.79	62.30
3.94	0.79	63.41
3.94	0.79	64.51
3.95	0.79	65.62
3.92	0.78	66.72
3.92	0.79	67.82
3.92	0.78	68.91
3.92	0.79	70.01
3.93	0.78	71.10
3.93	0.79	72.20
3.93	0.79	73.30
3.92	0.79	74.40
3.93	0.79	75.51
3.94	0.79	76.62
3.92	0.79	77.73
3.92	0.78	78.82
3.92	0.78	79.91
3.92	0.79	81.02
3.92	0.79	82.12
3.93	0.79	83.23
3.91	0.79	84.33
3.91	0.78	85.42
3.92	0.79	86.52
3.92	0.78	87.61
3.91	0.78	88.71
3.91	0.79	89.81
3.90	0.78	90.89
3.91	0.78	91.99
3.92	0.79	93.09
3.92	0.79	94.19
3.90	0.79	95.29
3.91	0.79	96.40
3.92	0.79	97.51
3.92	0.79	98.62
3.91	0.79	99.72
3.90	0.78	100.81
3.90	0.79	101.91
3.91	0.79	103.01
3.89	0.78	104.10
3.89	0.78	105.20
3.91	0.79	106.30
3.89	0.78	107.40
3.89	0.77	108.48
3.90	0.79	109.58
3.89	0.78	110.67
3.90	0.79	111.77
3.88	0.78	112.87
3.88	0.78	113.96
3.89	0.78	115.05
3.90	0.79	116.16
3.88	0.78	117.25
3.89	0.79	118.35
3.88	0.78	119.44
3.89	0.79	120.55
3.89	0.79	121.65
3.88	0.78	122.75
3.88	0.78	123.84
3.88	0.77	124.92
3.88	0.78	126.01
3.88	0.78	127.10
3.88	0.78	128.19
3.88	0.78	129.28
3.89	0.78	130.37
3.88	0.78	131.46
3.88	0.78	132.55
3.88	0.78	133.64
3.88	0.79	134.74
3.88	0.79	135.84
3.88	0.78	136.94
3.88	0.78	138.03
3.89	0.79	139.13
3.88	0.78	140.22
3.87	0.78	141.31
3.88	0.78	142.41
3.88	0.78	143.49
3.86	0.78	144.58
3.86	0.77	145.66
