Battery Capacity Checker v1.1
battVolt   current     mAh
3.70	0.00	0.00
3.41	0.69	0.20
3.40	0.68	0.40
3.40	0.68	0.59
3.39	0.68	0.79
3.40	0.68	0.98
3.40	0.68	1.18
3.39	0.68	1.37
3.39	0.68	1.57
3.39	0.68	1.76
3.39	0.68	1.96
3.40	0.68	2.16
3.40	0.68	2.36
3.39	0.68	2.55
3.39	0.68	2.75
3.40	0.68	2.94
3.39	0.68	3.14
3.39	0.68	3.33
3.39	0.68	3.53
3.40	0.69	3.73
3.39	0.68	3.92
3.39	0.68	4.12
3.39	0.68	4.31
3.40	0.68	4.51
3.39	0.68	4.70
3.39	0.68	4.90
3.40	0.68	5.10
3.39	0.68	5.29
3.39	0.68	5.49
3.40	0.69	5.68
3.39	0.68	5.88
3.39	0.68	6.08
3.40	0.69	6.27
3.39	0.68	6.47
3.39	0.68	6.66
3.39	0.68	6.86
3.39	0.68	7.06
3.39	0.68	7.25
3.39	0.68	7.45
3.39	0.67	7.64
3.40	0.68	7.84
3.38	0.67	8.03
3.39	0.68	8.23
3.39	0.68	8.42
3.39	0.68	8.62
3.39	0.68	8.82
3.39	0.68	9.01
3.39	0.68	9.21
3.39	0.68	9.40
3.39	0.68	9.60
3.38	0.67	9.79
3.39	0.68	9.99
3.39	0.68	10.18
3.38	0.68	10.38
3.39	0.69	10.58
3.39	0.68	10.77
3.39	0.68	10.97
3.39	0.68	11.17
3.39	0.68	11.36
3.39	0.68	11.56
3.39	0.68	11.76
3.39	0.68	11.95
3.39	0.68	12.15
3.39	0.68	12.34
3.39	0.67	12.54
3.39	0.68	12.73
3.39	0.69	12.93
3.39	0.68	13.13
3.38	0.68	13.32
3.38	0.68	13.52
3.39	0.67	13.71
3.39	0.68	13.91
3.39	0.68	14.10
3.39	0.67	14.30
3.39	0.68	14.49
3.39	0.68	14.69
3.39	0.68	14.89
3.39	0.69	15.09
3.38	0.68	15.28
3.39	0.68	15.48
3.39	0.68	15.67
3.39	0.68	15.87
3.39	0.68	16.07
3.39	0.68	16.26
3.39	0.68	16.46
3.38	0.68	16.66
3.39	0.68	16.85
3.39	0.68	17.05
3.39	0.69	17.25
3.38	0.68	17.44
3.39	0.68	17.64
3.38	0.68	17.84
3.39	0.69	18.03
3.39	0.69	18.23
3.38	0.68	18.43
3.38	0.68	18.62
3.39	0.68	18.82
3.39	0.68	19.01
3.39	0.68	19.21
3.38	0.68	19.41
3.39	0.69	19.61
3.39	0.68	19.80
3.38	0.67	20.00
3.38	0.68	20.19
3.38	0.68	20.39
3.39	0.68	20.59
3.39	0.68	20.78
3.38	0.68	20.98
3.38	0.68	21.17
3.39	0.68	21.37
3.39	0.68	21.57
3.39	0.68	21.76
3.37	0.68	21.96
3.38	0.68	22.15
3.38	0.68	22.35
3.39	0.68	22.55
3.38	0.68	22.74
3.38	0.68	22.94
3.38	0.68	23.13
3.38	0.68	23.33
3.39	0.68	23.53
3.38	0.68	23.72
3.38	0.68	23.92
3.38	0.68	24.11
3.38	0.68	24.31
3.38	0.68	24.51
3.39	0.69	24.70
3.39	0.67	24.90
3.38	0.68	25.09
3.38	0.68	25.29
3.38	0.68	25.48
3.38	0.68	25.68
3.38	0.68	25.88
3.39	0.68	26.07
3.39	0.69	26.27
3.39	0.68	26.47
3.39	0.68	26.66
3.38	0.68	26.86
3.38	0.68	27.05
3.38	0.68	27.25
3.38	0.68	27.44
3.37	0.68	27.64
3.39	0.69	27.84
3.38	0.68	28.03
3.37	0.68	28.23
3.39	0.68	28.43
3.39	0.68	28.62
3.38	0.68	28.82
3.38	0.68	29.02
3.38	0.68	29.21
3.37	0.67	29.41
3.38	0.68	29.60
3.37	0.68	29.80
3.38	0.68	29.99
3.38	0.68	30.19
3.39	0.68	30.39
3.38	0.68	30.58
3.38	0.68	30.78
3.38	0.68	30.98
3.37	0.68	31.17
3.37	0.67	31.36
3.38	0.68	31.56
3.39	0.69	31.76
3.39	0.69	31.96
3.38	0.68	32.15
3.38	0.68	32.35
3.38	0.67	32.54
3.38	0.68	32.74
3.38	0.68	32.93
3.38	0.67	33.13
3.38	0.68	33.32
3.38	0.68	33.52
3.38	0.68	33.72
3.38	0.67	33.91
3.37	0.67	34.10
3.38	0.68	34.30
3.37	0.68	34.49
3.37	0.68	34.69
3.38	0.68	34.88
3.38	0.68	35.08
3.39	0.68	35.28
3.37	0.68	35.47
3.37	0.67	35.66
3.38	0.68	35.86
3.37	0.68	36.06
3.38	0.68	36.25
3.39	0.68	36.45
3.37	0.68	36.64
3.37	0.68	36.84
3.37	0.68	37.04
3.37	0.68	37.23
3.38	0.68	37.43
3.37	0.67	37.62
3.38	0.68	37.82
3.38	0.68	38.01
3.38	0.68	38.21
3.38	0.68	38.40
3.38	0.67	38.60
3.38	0.68	38.79
3.37	0.68	38.99
3.37	0.67	39.18
3.38	0.68	39.38
3.39	0.69	39.58
3.38	0.68	39.78
3.37	0.68	39.97
3.37	0.68	40.17
3.37	0.67	40.36
3.37	0.68	40.55
3.38	0.68	40.75
3.38	0.68	40.95
3.37	0.68	41.14
3.37	0.68	41.34
3.37	0.67	41.53
3.37	0.67	41.72
3.37	0.68	41.92
3.38	0.68	42.12
3.37	0.67	42.31
3.37	0.67	42.50
3.37	0.68	42.70
3.37	0.67	42.89
3.38	0.68	43.08
3.37	0.68	43.28
3.37	0.68	43.48
3.38	0.67	43.67
3.37	0.68	43.86
3.37	0.68	44.06
3.37	0.68	44.25
3.37	0.67	44.45
3.37	0.68	44.64
3.37	0.67	44.84
3.37	0.68	45.03
3.37	0.67	45.23
3.37	0.67	45.42
3.37	0.67	45.61
3.37	0.68	45.81
3.38	0.68	46.00
3.37	0.68	46.20
3.37	0.67	46.39
3.37	0.68	46.59
3.36	0.68	46.78
3.37	0.68	46.98
3.37	0.68	47.17
3.36	0.68	47.37
3.38	0.68	47.56
3.37	0.68	47.76
3.38	0.67	47.95
3.37	0.67	48.15
3.38	0.68	48.34
3.36	0.68	48.54
3.37	0.68	48.73
3.37	0.68	48.93
3.36	0.67	49.12
