Battery Capacity Checker v1.1
battVolt   current     mAh
1.28	0.26	84.83
1.29	0.26	85.19
1.29	0.26	85.56
1.28	0.26	85.92
1.28	0.26	86.29
1.28	0.26	86.65
1.29	0.26	87.01
1.28	0.26	87.37
1.28	0.26	87.73
1.28	0.25	88.09
1.29	0.26	88.45
1.28	0.26	88.81
1.28	0.26	89.17
1.28	0.25	89.53
1.28	0.26	89.89
1.28	0.26	90.25
1.28	0.26	90.61
1.28	0.25	90.96
1.28	0.25	91.31
1.28	0.25	91.66
1.28	0.25	92.01
1.29	0.27	92.39
1.28	0.26	92.75
1.28	0.25	93.10
1.28	0.25	93.45
1.28	0.25	93.81
1.28	0.26	94.17
1.28	0.25	94.52
1.28	0.27	94.89
1.29	0.27	95.27
1.28	0.26	95.63
1.28	0.26	95.99
1.28	0.25	96.33
1.27	0.25	96.68
1.28	0.26	97.04
1.28	0.25	97.39
1.27	0.26	97.75
1.28	0.26	98.11
1.28	0.26	98.48
1.28	0.26	98.84
1.27	0.25	99.19
1.28	0.26	99.55
1.28	0.26	99.91
1.27	0.26	100.27
1.28	0.26	100.63
1.27	0.25	100.98
1.27	0.25	101.33
1.27	0.25	101.69
1.27	0.25	102.04
1.28	0.26	102.41
1.27	0.26	102.77
1.27	0.25	103.12
1.27	0.26	103.48
1.27	0.25	103.83
1.27	0.26	104.19
1.27	0.25	104.54
1.27	0.26	104.90
1.27	0.25	105.25
1.27	0.26	105.61
1.27	0.25	105.96
1.27	0.25	106.32
1.27	0.26	106.68
1.27	0.25	107.03
1.27	0.25	107.39
1.27	0.25	107.74
1.27	0.25	108.09
1.27	0.25	108.44
1.27	0.25	108.79
1.27	0.25	109.14
1.27	0.26	109.50
1.27	0.25	109.86
1.27	0.25	110.20
1.27	0.25	110.56
1.27	0.26	110.92
1.26	0.25	111.27
1.27	0.26	111.63
1.27	0.25	111.98
1.26	0.24	112.32
1.26	0.24	112.66
1.27	0.25	113.02
1.27	0.26	113.38
1.26	0.25	113.73
1.27	0.25	114.08
1.26	0.24	114.42
1.26	0.24	114.77
1.26	0.25	115.11
1.26	0.25	115.47
1.26	0.24	115.81
1.26	0.25	116.16
1.26	0.25	116.52
1.27	0.25	116.87
1.26	0.25	117.22
1.26	0.25	117.58
1.26	0.25	117.93
1.27	0.26	118.29
1.26	0.25	118.65
1.26	0.25	119.00
1.26	0.25	119.35
1.27	0.26	119.71
1.27	0.26	120.07
1.27	0.26	120.43
1.26	0.24	120.77
1.27	0.26	121.13
1.26	0.25	121.49
1.27	0.26	121.85
1.26	0.25	122.20
1.26	0.25	122.54
1.26	0.26	122.90
1.26	0.26	123.26
1.26	0.26	123.62
1.26	0.26	123.98
1.26	0.26	124.34
